title,url,release_date,critic_score,audience_score
"Mystery, Alaska",https://www.rottentomatoes.com/m/mystery_alaska,"Released Oct 1, 1999",37%,66%
Three Kings,https://www.rottentomatoes.com/m/three_kings,"Released Oct 1, 1999",94%,77%
Scooby-Doo and the Witch's Ghost,https://www.rottentomatoes.com/m/scoobydoo_and_the_witchs_ghost,1999,50%,75%
The Limey,https://www.rottentomatoes.com/m/limey,"Released Oct 8, 1999",92%,78%
Random Hearts,https://www.rottentomatoes.com/m/random_hearts,"Released Oct 8, 1999",18%,24%
Superstar,https://www.rottentomatoes.com/m/superstar,2009,,57%
Fight Club,https://www.rottentomatoes.com/m/fight_club,"Released Oct 15, 1999",80%,96%
The Omega Code,https://www.rottentomatoes.com/m/omega_code,"Released Oct 15, 1999",8%,31%
The Story of Us,https://www.rottentomatoes.com/m/the_story_of_us,2019,,29%
The Story of Us,https://www.rottentomatoes.com/m/story_of_us,"Released Oct 15, 1999",26%,58%
The Straight Story,https://www.rottentomatoes.com/m/straight_story,"Released May 21, 1999",95%,91%
The Nuttiest Nutcracker,https://www.rottentomatoes.com/m/the_nuttiest_nutcracker,1999,,38%
The Nuttiest Nutcracker,https://www.rottentomatoes.com/m/nuttiest_nutcracker,1999,,38%
Bats,https://www.rottentomatoes.com/m/bats,"Released Oct 22, 1999",17%,14%
The Best Man,https://www.rottentomatoes.com/m/the_best_man,"Released Oct 22, 1999",72%,86%
Best Man,https://www.rottentomatoes.com/m/best_man,2014,,
Body Shots,https://www.rottentomatoes.com/m/body_shots,"Released Oct 22, 1999",11%,27%
Boys Don't Cry,https://www.rottentomatoes.com/m/boys_dont_cry,"Released Sep 2, 1999",90%,87%
Bringing Out the Dead,https://www.rottentomatoes.com/m/bringing_out_the_dead,"Released Oct 22, 1999",73%,70%
Crazy in Alabama,https://www.rottentomatoes.com/m/crazy_in_alabama,1999,30%,64%
Molly,https://www.rottentomatoes.com/m/molly,"Released Aug 16, 1999",14%,52%
Three to Tango,https://www.rottentomatoes.com/m/three_to_tango,"Released Oct 22, 1999",29%,48%
Being John Malkovich,https://www.rottentomatoes.com/m/being_john_malkovich,"Released Oct 29, 1999",94%,87%
House on Haunted Hill,https://www.rottentomatoes.com/m/house_on_haunted_hill,"Released Feb 17, 1959",79%,73%
The Legend of 1900,https://www.rottentomatoes.com/m/legend_of_1900,1998,56%,91%
Music of the Heart,https://www.rottentomatoes.com/m/music_of_the_heart,"Released Sep 6, 1999",64%,72%
Princess Mononoke,https://www.rottentomatoes.com/m/princess_mononoke,"Released Jul 12, 1997",93%,94%
The Suburbans,https://www.rottentomatoes.com/m/suburbans,"Released Oct 29, 1999",0%,22%
American Movie,https://www.rottentomatoes.com/m/american_movie,"Released Nov 5, 1999",94%,90%
The Bachelor,https://www.rottentomatoes.com/m/the_bachelor,2016,,
The Bachelor,https://www.rottentomatoes.com/m/bachelor,1990,,
The Bone Collector,https://www.rottentomatoes.com/m/bone_collector,"Released Nov 5, 1999",29%,63%
The Insider,https://www.rottentomatoes.com/m/the_insider,2001,,
The Insider,https://www.rottentomatoes.com/m/insider,"Released Nov 5, 1999",96%,90%
Mickey's Once Upon a Christmas,https://www.rottentomatoes.com/m/mickeys_once_upon_a_christmas,1999,40%,66%
Light It Up,https://www.rottentomatoes.com/m/light_it_up,"Released Nov 10, 1999",39%,75%
Anywhere but Here,https://www.rottentomatoes.com/m/anywhere_but_here,"Released Oct 12, 1999",63%,55%
Dogma,https://www.rottentomatoes.com/m/dogma,"Released Nov 12, 1999",68%,85%
Felicia's Journey,https://www.rottentomatoes.com/m/felicias_journey,"Released Nov 12, 1999",88%,71%
The Messenger: The Story of Joan of Arc,https://www.rottentomatoes.com/m/messenger_the_story_of_joan_of_arc,"Released Nov 12, 1999",32%,58%
Liberty Heights,https://www.rottentomatoes.com/m/liberty_heights,"Released Nov 17, 1999",86%,76%
Sleepy Hollow,https://www.rottentomatoes.com/m/sleepy_hollow,"Released Nov 19, 1999",70%,80%
The World Is Not Enough,https://www.rottentomatoes.com/m/world_is_not_enough,"Released Nov 19, 1999",51%,49%
RKO 281,https://www.rottentomatoes.com/m/rko_281,1999,92%,75%
End of Days,https://www.rottentomatoes.com/m/end_of_days,"Released Nov 24, 1999",11%,33%
Flawless,https://www.rottentomatoes.com/m/flawless,"Released Nov 24, 1999",40%,54%
Mansfield Park,https://www.rottentomatoes.com/m/mansfield_park,2007,,53%
Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2,"Released Nov 24, 1999",100%,87%
Agnes Browne,https://www.rottentomatoes.com/m/agnes_browne,"Released Mar 3, 2000",41%,71%
Holy Smoke,https://www.rottentomatoes.com/m/holy_smoke,"Released Feb 22, 2000",46%,47%
Sweet and Lowdown,https://www.rottentomatoes.com/m/sweet_and_lowdown,"Released Sep 4, 1999",77%,82%
The Cider House Rules,https://www.rottentomatoes.com/m/cider_house_rules,"Released Sep 7, 1999",71%,77%
Cradle Will Rock,https://www.rottentomatoes.com/m/cradle_will_rock,"Released Dec 10, 1999",65%,71%
Deuce Bigalow: Male Gigolo,https://www.rottentomatoes.com/m/deuce_bigalow_male_gigolo,"Released Dec 10, 1999",22%,42%
The Green Mile,https://www.rottentomatoes.com/m/the_green_mile,"Released Dec 10, 1999",79%,94%
The Green Mile,https://www.rottentomatoes.com/m/green_mile,"Released Dec 10, 1999",79%,94%
Miss Julie,https://www.rottentomatoes.com/m/miss_julie,2013,,
Witness Protection,https://www.rottentomatoes.com/m/witness_protection,2005,,
Topsy-Turvy,https://www.rottentomatoes.com/m/topsyturvy,"Released Jan 14, 2000",90%,79%
Anna and the King,https://www.rottentomatoes.com/m/anna_and_the_king,1999,,
Bicentennial Man,https://www.rottentomatoes.com/m/bicentennial_man,"Released Dec 17, 1999",37%,59%
Fantasia 2000,https://www.rottentomatoes.com/m/fantasia_2000,"Released Jan 1, 2000",80%,75%
Magnolia,https://www.rottentomatoes.com/m/magnolia,"Released Jan 7, 2000",82%,89%
Stuart Little,https://www.rottentomatoes.com/m/stuart_little,"Released Dec 17, 1999",67%,41%
"Girl, Interrupted",https://www.rottentomatoes.com/m/girl_interrupted,"Released Jan 14, 2000",53%,84%
Wakko's Wish,https://www.rottentomatoes.com/m/wakkos_wish,1999,,80%
Any Given Sunday,https://www.rottentomatoes.com/m/any_given_sunday,"Released Dec 22, 1999",52%,73%
Snow Falling on Cedars,https://www.rottentomatoes.com/m/snow_falling_on_cedars,"Released Sep 12, 1999",39%,67%
The Big Tease,https://www.rottentomatoes.com/m/the_big_tease,"Released Jan 28, 1999",56%,54%
The Big Tease,https://www.rottentomatoes.com/m/big_tease,"Released Jan 28, 1999",56%,54%
Angela's Ashes,https://www.rottentomatoes.com/m/angelas_ashes,"Released Jan 21, 2000",52%,81%
Galaxy Quest,https://www.rottentomatoes.com/m/galaxy_quest,"Released Dec 25, 1999",90%,79%
The Talented Mr. Ripley,https://www.rottentomatoes.com/m/talented_mr_ripley,"Released Dec 25, 1999",85%,80%
Titus,https://www.rottentomatoes.com/m/titus,"Released Dec 25, 1999",69%,86%
The Hurricane,https://www.rottentomatoes.com/m/the_hurricane,1972,,
Hurricane,https://www.rottentomatoes.com/m/hurricane,1974,,
How the Grinch Stole Christmas,https://www.rottentomatoes.com/m/how_the_grinch_stole_christmas,"Released Nov 17, 2000",49%,58%
Cast Away,https://www.rottentomatoes.com/m/cast_away,"Released Dec 22, 2000",89%,84%
Mission: Impossible II,https://www.rottentomatoes.com/m/mission_impossible_ii,"Released May 24, 2000",56%,42%
Gladiator,https://www.rottentomatoes.com/m/gladiator,"Released May 5, 2000",80%,87%
What Women Want,https://www.rottentomatoes.com/m/what_women_want,"Released Dec 15, 2000",54%,54%
The Perfect Storm,https://www.rottentomatoes.com/m/the_perfect_storm,"Released Jun 30, 2000",46%,63%
The Perfect Storm,https://www.rottentomatoes.com/m/perfect_storm,"Released Jun 30, 2000",46%,63%
Meet the Parents,https://www.rottentomatoes.com/m/meet_the_parents,"Released Oct 6, 2000",85%,79%
X-Men,https://www.rottentomatoes.com/m/xmen,"Released Jul 14, 2000",82%,83%
Scary Movie,https://www.rottentomatoes.com/m/scary_movie,"Released Jul 7, 2000",51%,43%
What Lies Beneath,https://www.rottentomatoes.com/m/what_lies_beneath,"Released Jul 21, 2000",47%,58%
Next Friday,https://www.rottentomatoes.com/m/next_friday,"Released Jan 12, 2000",21%,76%
Play It to the Bone,https://www.rottentomatoes.com/m/play_it_to_the_bone,"Released Jan 21, 2000",11%,25%
2012: Supernova,https://www.rottentomatoes.com/m/supernova,2009,,9%
The Boondock Saints,https://www.rottentomatoes.com/m/boondock_saints,"Released Aug 4, 1999",26%,91%
Down to You,https://www.rottentomatoes.com/m/down_to_you,"Released Jan 21, 2000",3%,48%
Isn't She Great,https://www.rottentomatoes.com/m/isnt_she_great,"Released Jan 28, 2000",24%,37%
Simpatico,https://www.rottentomatoes.com/m/simpatico,"Released Feb 4, 2000",25%,14%
Gun Shy,https://www.rottentomatoes.com/m/gun_shy,"Released Feb 4, 2000",26%,36%
Scream 3,https://www.rottentomatoes.com/m/scream_3,"Released Feb 4, 2000",41%,38%
The Beach,https://www.rottentomatoes.com/m/the_beach,2019,,
The Beach,https://www.rottentomatoes.com/m/beach,"Released Feb 11, 2000",21%,57%
Snow Day,https://www.rottentomatoes.com/m/snow_day,"Released Feb 11, 2000",29%,27%
The Tigger Movie,https://www.rottentomatoes.com/m/the_tigger_movie,"Released Feb 11, 2000",62%,62%
Beautiful People,https://www.rottentomatoes.com/m/beautiful_people,"Released May 18, 1999",80%,85%
Hanging Up,https://www.rottentomatoes.com/m/hanging_up,"Released Feb 18, 2000",12%,34%
Pitch Black,https://www.rottentomatoes.com/m/pitch_black,"Released Feb 18, 2000",60%,77%
The Whole Nine Yards,https://www.rottentomatoes.com/m/the_whole_nine_yards,"Released Feb 18, 2000",43%,64%
The Whole Nine Yards,https://www.rottentomatoes.com/m/whole_nine_yards,"Released Feb 18, 2000",43%,64%
Wonder Boys,https://www.rottentomatoes.com/m/wonder_boys,"Released Feb 25, 2000",81%,83%
Reindeer Games,https://www.rottentomatoes.com/m/reindeer_games,"Released Feb 25, 2000",25%,27%
An Extremely Goofy Movie,https://www.rottentomatoes.com/m/an_extremely_goofy_movie,2000,,
3 Strikes,https://www.rottentomatoes.com/m/3_strikes,"Released Mar 1, 2000",0%,67%
Drowning Mona,https://www.rottentomatoes.com/m/drowning_mona,"Released Mar 3, 2000",29%,47%
My Dog Skip,https://www.rottentomatoes.com/m/my_dog_skip,"Released Mar 3, 2000",73%,68%
The Next Best Thing,https://www.rottentomatoes.com/m/next_best_thing,"Released Mar 3, 2000",19%,35%
If These Walls Could Talk 2,https://www.rottentomatoes.com/m/if_these_walls_could_talk_2,"Released Mar 5, 2000",60%,83%
Mission to Mars,https://www.rottentomatoes.com/m/mission_to_mars,"Released Mar 10, 2000",24%,30%
The Ninth Gate,https://www.rottentomatoes.com/m/ninth_gate,"Released Mar 10, 2000",43%,58%
Erin Brockovich,https://www.rottentomatoes.com/m/erin_brockovich,"Released Mar 17, 2000",85%,81%
Final Destination,https://www.rottentomatoes.com/m/final_destination,"Released Mar 17, 2000",36%,68%
Romeo Must Die,https://www.rottentomatoes.com/m/romeo_must_die,"Released Mar 22, 2000",32%,61%
Ghost Dog: The Way of the Samurai,https://www.rottentomatoes.com/m/ghost_dog_the_way_of_the_samurai,"Released May 18, 1999",84%,86%
Here on Earth,https://www.rottentomatoes.com/m/here_on_earth,"Released Mar 24, 2000",17%,60%
Mr. Accident,https://www.rottentomatoes.com/m/mr_accident,"Released Mar 24, 2000",17%,31%
Waking the Dead,https://www.rottentomatoes.com/m/waking_the_dead,"Released Mar 24, 2000",50%,77%
Whatever It Takes,https://www.rottentomatoes.com/m/whatever_it_takes,2007,,
Leprechaun in the Hood,https://www.rottentomatoes.com/m/leprechaun_in_the_hood,2000,33%,31%
Price of Glory,https://www.rottentomatoes.com/m/price_of_glory,"Released Mar 31, 2000",33%,76%
The Road to El Dorado,https://www.rottentomatoes.com/m/road_to_el_dorado,"Released Mar 31, 2000",49%,66%
The Skulls,https://www.rottentomatoes.com/m/skulls,"Released Mar 31, 2000",9%,43%
Black and White,https://www.rottentomatoes.com/m/black_and_white,1992,,
Joe Gould's Secret,https://www.rottentomatoes.com/m/joe_goulds_secret,"Released Jan 21, 2000",65%,63%
Ready to Rumble,https://www.rottentomatoes.com/m/ready_to_rumble,"Released Apr 7, 2000",23%,52%
Return to Me,https://www.rottentomatoes.com/m/return_to_me,"Released Apr 7, 2000",62%,80%
Rules of Engagement,https://www.rottentomatoes.com/m/rules_of_engagement,"Released Mar 31, 2000",37%,55%
28 Days,https://www.rottentomatoes.com/m/28_days,"Released Apr 14, 2000",33%,50%
American Psycho,https://www.rottentomatoes.com/m/american_psycho,"Released Apr 14, 2000",68%,85%
Keeping the Faith,https://www.rottentomatoes.com/m/keeping_the_faith,"Released Apr 14, 2000",69%,59%
Kevin & Perry Go Large,https://www.rottentomatoes.com/m/kevin_and_perry_go_large,2000,14%,70%
Where the Money Is,https://www.rottentomatoes.com/m/where_the_money_is,"Released Apr 14, 2000",48%,36%
Gossip,https://www.rottentomatoes.com/m/gossip,"Released Apr 21, 2000",28%,47%
Love & Basketball,https://www.rottentomatoes.com/m/love_and_basketball,"Released Apr 21, 2000",85%,95%
U-571,https://www.rottentomatoes.com/m/u571,"Released Apr 21, 2000",68%,62%
The Virgin Suicides,https://www.rottentomatoes.com/m/virgin_suicides,"Released May 12, 1999",80%,81%
The Big Kahuna,https://www.rottentomatoes.com/m/the_big_kahuna,"Released Apr 28, 2000",73%,72%
The Big Kahuna,https://www.rottentomatoes.com/m/big_kahuna,"Released Apr 28, 2000",73%,72%
Committed,https://www.rottentomatoes.com/m/committed,2011,,
The Flintstones in Viva Rock Vegas,https://www.rottentomatoes.com/m/the_flintstones_in_viva_rock_vegas,"Released Apr 28, 2000",25%,20%
The Flintstones in Viva Rock Vegas,https://www.rottentomatoes.com/m/flintstones_in_viva_rock_vegas,"Released Apr 28, 2000",25%,20%
Frequency,https://www.rottentomatoes.com/m/frequency,"Released Apr 28, 2000",70%,81%
The Last September,https://www.rottentomatoes.com/m/the_last_september,"Released Apr 28, 2000",42%,33%
The Last September,https://www.rottentomatoes.com/m/last_september,"Released Apr 28, 2000",42%,33%
Timecode,https://www.rottentomatoes.com/m/timecode,"Released Apr 28, 2000",68%,48%
Gladiator,https://www.rottentomatoes.com/m/gladiator,"Released May 5, 2000",80%,87%
I Dreamed of Africa,https://www.rottentomatoes.com/m/i_dreamed_of_africa,"Released May 5, 2000",10%,56%
Michael Jordan: To the Max,https://www.rottentomatoes.com/m/michael_jordan_to_the_max,2000,67%,81%
Up at the Villa,https://www.rottentomatoes.com/m/up_at_the_villa,"Released May 5, 2000",45%,35%
Battlefield Earth,https://www.rottentomatoes.com/m/battlefield_earth,"Released May 12, 2000",3%,13%
Center Stage,https://www.rottentomatoes.com/m/center_stage,"Released May 12, 2000",41%,82%
Hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
Held Up,https://www.rottentomatoes.com/m/held_up,"Released May 12, 2000",17%,42%
Screwed,https://www.rottentomatoes.com/m/screwed,2014,,
Dinosaur,https://www.rottentomatoes.com/m/dinosaur,2000,,
Small Time Crooks,https://www.rottentomatoes.com/m/small_time_crooks,"Released May 19, 2000",66%,57%
Mission: Impossible II,https://www.rottentomatoes.com/m/mission_impossible_2,"Released May 24, 2000",56%,42%
Passion of Mind,https://www.rottentomatoes.com/m/passion_of_mind,"Released Jan 7, 2000",19%,51%
Shanghai Noon,https://www.rottentomatoes.com/m/shanghai_noon,"Released May 26, 2000",80%,65%
Big Momma's House,https://www.rottentomatoes.com/m/big_mommas_house,"Released Jun 2, 2000",30%,57%
Love's Labour's Lost,https://www.rottentomatoes.com/m/loves_labours_lost,"Released Feb 14, 2000",50%,40%
Sunshine,https://www.rottentomatoes.com/m/sunshine,"Released Jul 27, 2007",77%,73%
The Woman Chaser,https://www.rottentomatoes.com/m/the_woman_chaser,"Released Oct 8, 1999",71%,73%
The Woman Chaser,https://www.rottentomatoes.com/m/woman_chaser,"Released Oct 8, 1999",71%,73%
Boys and Girls,https://www.rottentomatoes.com/m/boys_and_girls,"Released Jun 16, 2000",11%,50%
Jesus' Son,https://www.rottentomatoes.com/m/jesus_son,"Released Sep 5, 1999",79%,83%
Shaft,https://www.rottentomatoes.com/m/shaft,"Released Jun 14, 2019",34%,94%
Titan A.E.,https://www.rottentomatoes.com/m/titan_ae,"Released Jun 16, 2000",50%,61%
Time Regained,https://www.rottentomatoes.com/m/time_regained,"Released May 16, 1999",72%,72%
Chicken Run,https://www.rottentomatoes.com/m/chicken_run,"Released Jun 21, 2000",97%,65%
"Me, Myself & Irene",https://www.rottentomatoes.com/m/me_myself_and_irene,"Released Jun 23, 2000",48%,57%
The Patriot,https://www.rottentomatoes.com/m/the_patriot,"Released Aug 17, 1928",100%,58%
The Patriot,https://www.rottentomatoes.com/m/patriot,"Released Jul 25, 1986",,0%
Trixie,https://www.rottentomatoes.com/m/trixie,"Released Jun 28, 2000",28%,23%
The Adventures of Rocky and Bullwinkle,https://www.rottentomatoes.com/m/the_adventures_of_rocky_and_bullwinkle,"Released Jun 30, 2000",42%,21%
The Adventures of Rocky and Bullwinkle,https://www.rottentomatoes.com/m/adventures_of_rocky_and_bullwinkle,"Released Jun 30, 2000",42%,21%
The Perfect Storm,https://www.rottentomatoes.com/m/the_perfect_storm,"Released Jun 30, 2000",46%,63%
The Perfect Storm,https://www.rottentomatoes.com/m/perfect_storm,"Released Jun 30, 2000",46%,63%
But I'm a Cheerleader,https://www.rottentomatoes.com/m/but_im_a_cheerleader,"Released Sep 12, 1999",43%,75%
Disney's The Kid,https://www.rottentomatoes.com/m/the_kid,"Released Jul 7, 2000",49%,49%
Kid,https://www.rottentomatoes.com/m/kid,1984,,
Scary Movie,https://www.rottentomatoes.com/m/scary_movie,"Released Jul 7, 2000",51%,43%
Heavy Metal 2000,https://www.rottentomatoes.com/m/heavy_metal_2000,"Released Jul 10, 2000",8%,36%
X-Men,https://www.rottentomatoes.com/m/xmen,"Released Jul 14, 2000",82%,83%
Chuck & Buck,https://www.rottentomatoes.com/m/chuck_and_buck,"Released Jan 21, 2000",84%,66%
The Five Senses,https://www.rottentomatoes.com/m/five_senses,"Released May 18, 1999",74%,79%
The In Crowd,https://www.rottentomatoes.com/m/the_in_crowd,"Released Jul 19, 2000",2%,38%
Loser,https://www.rottentomatoes.com/m/loser,2021,,
What Lies Beneath,https://www.rottentomatoes.com/m/what_lies_beneath,"Released Jul 21, 2000",47%,58%
An American Tail: The Mystery of the Night Monster,https://www.rottentomatoes.com/m/an_american_tail_the_mystery_of_the_night_monster,2000,,40%
Beethoven's 3rd,https://www.rottentomatoes.com/m/beethovens_3rd,2000,0%,25%
Thomas and the Magic Railroad,https://www.rottentomatoes.com/m/thomas_and_the_magic_railroad,"Released Jul 26, 2000",21%,42%
Croupier,https://www.rottentomatoes.com/m/croupier,"Released Apr 21, 1998",95%,79%
The Girl on the Bridge,https://www.rottentomatoes.com/m/girl_on_the_bridge,"Released Mar 31, 1999",88%,91%
Nutty Professor II: The Klumps,https://www.rottentomatoes.com/m/nutty_professor_ii_the_klumps,"Released Jul 28, 2000",27%,33%
Wonderland,https://www.rottentomatoes.com/m/wonderland,"Released Oct 17, 2003",34%,65%
Coyote Ugly,https://www.rottentomatoes.com/m/coyote_ugly,"Released Aug 4, 2000",23%,71%
Hollow Man,https://www.rottentomatoes.com/m/hollow_man,"Released Aug 4, 2000",26%,28%
Saving Grace,https://www.rottentomatoes.com/m/saving_grace,"Released May 2, 1986",,76%
Space Cowboys,https://www.rottentomatoes.com/m/space_cowboys,"Released Aug 4, 2000",78%,53%
The Tao of Steve,https://www.rottentomatoes.com/m/tao_of_steve,"Released Jan 26, 2000",80%,69%
Buzz Lightyear of Star Command: The Adventure Begins,https://www.rottentomatoes.com/m/buzz_lightyear_of_star_command_the_adventure_begins,2000,,51%
Autumn in New York,https://www.rottentomatoes.com/m/autumn_in_new_york,"Released Aug 11, 2000",20%,53%
Bless the Child,https://www.rottentomatoes.com/m/bless_the_child,"Released Aug 11, 2000",4%,43%
Cecil B. Demented,https://www.rottentomatoes.com/m/cecil_b_demented,"Released May 17, 2000",52%,67%
The Opportunists,https://www.rottentomatoes.com/m/opportunists,"Released Aug 11, 2000",54%,46%
The Replacements,https://www.rottentomatoes.com/m/replacements,"Released Aug 11, 2000",41%,66%
The Cell,https://www.rottentomatoes.com/m/the_cell,2017,,
Cell,https://www.rottentomatoes.com/m/cell,2017,,
The Original Kings of Comedy,https://www.rottentomatoes.com/m/original_kings_of_comedy,"Released Aug 18, 2000",83%,79%
Sunset Strip,https://www.rottentomatoes.com/m/sunset_strip,1986,,
The Scarecrow,https://www.rottentomatoes.com/m/the_scarecrow,2015,,
Khayal Maata,https://www.rottentomatoes.com/m/scarecrow,2019,,
Bring It On,https://www.rottentomatoes.com/m/bring_it_on,"Released Aug 25, 2000",65%,66%
The Crew,https://www.rottentomatoes.com/m/the_crew,2012,,
The Crew,https://www.rottentomatoes.com/m/crew,2008,,40%
The Last of the Blonde Bombshells,https://www.rottentomatoes.com/m/last_of_the_blonde_bombshells,2000,,78%
Alvin and the Chipmunks Meet the Wolfman,https://www.rottentomatoes.com/m/alvin_and_the_chipmunks_meet_the_wolfman,2000,,71%
Highlander: Endgame,https://www.rottentomatoes.com/m/highlander_endgame,"Released Sep 1, 2000",11%,38%
Whipped,https://www.rottentomatoes.com/m/whipped,"Released Sep 1, 2000",13%,32%
Turn It Up,https://www.rottentomatoes.com/m/turn_it_up,"Released Sep 6, 2000",10%,25%
Backstage,https://www.rottentomatoes.com/m/backstage,2015,,
Nurse Betty,https://www.rottentomatoes.com/m/nurse_betty,"Released Sep 8, 2000",83%,45%
Urbania,https://www.rottentomatoes.com/m/urbania,"Released Jan 24, 2000",73%,71%
Raven's Watch,https://www.rottentomatoes.com/m/the_watcher,2016,,18%
The Watcher,https://www.rottentomatoes.com/m/watcher,"Released Sep 8, 2000",11%,28%
The Way of the Gun,https://www.rottentomatoes.com/m/way_of_the_gun,"Released Sep 8, 2000",46%,70%
The Taking,https://www.rottentomatoes.com/m/bait,2014,,
Crime and Punishment in Suburbia,https://www.rottentomatoes.com/m/crime_and_punishment_in_suburbia,"Released Jan 24, 2000",21%,58%
Judy Garland - Judy Duets,https://www.rottentomatoes.com/m/duets,2005,,
Into the Arms of Strangers: Stories of the Kindertransport,https://www.rottentomatoes.com/m/into_the_arms_of_strangers_stories_of_the_kindertransport,"Released Sep 15, 2000",92%,88%
Almost Famous,https://www.rottentomatoes.com/m/almost_famous,"Released Sep 15, 2000",91%,92%
The Fantasticks,https://www.rottentomatoes.com/m/the_fantasticks,"Released Sep 22, 2000",48%,49%
The Fantasticks,https://www.rottentomatoes.com/m/fantasticks,"Released Sep 22, 2000",48%,49%
The Specials,https://www.rottentomatoes.com/m/the_specials,2019,82%,86%
The Specials,https://www.rottentomatoes.com/m/specials,"Released Sep 18, 2000",47%,55%
Urban Legends: Final Cut,https://www.rottentomatoes.com/m/urban_legends_final_cut,"Released Sep 22, 2000",10%,20%
Woman on Top,https://www.rottentomatoes.com/m/woman_on_top,"Released Sep 22, 2000",35%,42%
Beautiful,https://www.rottentomatoes.com/m/beautiful,2010,,
Best in Show,https://www.rottentomatoes.com/m/best_in_show,"Released Sep 29, 2000",93%,88%
Girlfight,https://www.rottentomatoes.com/m/girlfight,"Released Sep 29, 2000",87%,75%
Remember the Titans,https://www.rottentomatoes.com/m/remember_the_titans,"Released Sep 29, 2000",71%,93%
Scooby-Doo and the Alien Invaders,https://www.rottentomatoes.com/m/scoobydoo_and_the_alien_invaders,2000,80%,62%
Bamboozled,https://www.rottentomatoes.com/m/bamboozled,"Released Oct 20, 2000",53%,74%
Bootmen,https://www.rottentomatoes.com/m/bootmen,"Released Oct 5, 2000",39%,69%
Dancer in the Dark,https://www.rottentomatoes.com/m/dancer_in_the_dark,"Released Oct 6, 2000",70%,91%
Digimon: The Movie,https://www.rottentomatoes.com/m/digimon_the_movie,"Released Oct 6, 2000",24%,66%
Get Carter,https://www.rottentomatoes.com/m/get_carter,"Released Mar 18, 1971",87%,84%
Meet the Parents,https://www.rottentomatoes.com/m/meet_the_parents,"Released Oct 6, 2000",85%,79%
Tigerland,https://www.rottentomatoes.com/m/tigerland,"Released Sep 13, 2000",77%,71%
Animal Factory,https://www.rottentomatoes.com/m/animal_factory,2000,83%,59%
Billy Elliot,https://www.rottentomatoes.com/m/billy_elliot,"Released Oct 13, 2000",85%,89%
The Contender,https://www.rottentomatoes.com/m/the_contender,1980,,
The Contender,https://www.rottentomatoes.com/m/contender,"Released May 10, 1944",,
Dr. T & the Women,https://www.rottentomatoes.com/m/dr_t_and_the_women,"Released Oct 13, 2000",57%,20%
The Ladies' Man,https://www.rottentomatoes.com/m/the_ladies_man,"Released May 26, 1961",100%,67%
Ladies' Man,https://www.rottentomatoes.com/m/ladies_man,1947,,
Lost Souls,https://www.rottentomatoes.com/m/lost_souls,1960,,
Whispers: An Elephant's Tale,https://www.rottentomatoes.com/m/whispers_an_elephants_tale,"Released Oct 13, 2000",,38%
The Yards,https://www.rottentomatoes.com/m/yards,"Released Apr 27, 2000",64%,51%
Cherry Falls,https://www.rottentomatoes.com/m/cherry_falls,2000,63%,41%
Drunken Master II,https://www.rottentomatoes.com/m/legend_of_drunken_master,"Released Oct 20, 2000",84%,88%
MVP: Most Valuable Primate,https://www.rottentomatoes.com/m/mvp_most_valuable_primate,"Released Oct 20, 2000",40%,41%
Pay It Forward,https://www.rottentomatoes.com/m/pay_it_forward,"Released Oct 20, 2000",39%,77%
Book of Shadows: Blair Witch 2,https://www.rottentomatoes.com/m/book_of_shadows_blair_witch_2,"Released Oct 27, 2000",14%,18%
The Little Vampire,https://www.rottentomatoes.com/m/the_little_vampire,"Released Oct 27, 2000",55%,55%
The Little Vampire,https://www.rottentomatoes.com/m/little_vampire,"Released Oct 27, 2000",55%,55%
Loving Jezebel,https://www.rottentomatoes.com/m/loving_jezebel,"Released Aug 5, 1999",33%,47%
Lucky Numbers,https://www.rottentomatoes.com/m/lucky_numbers,"Released Oct 27, 2000",23%,19%
Requiem for a Dream,https://www.rottentomatoes.com/m/requiem_for_a_dream,"Released Oct 27, 2000",78%,93%
Batman Beyond: Return of the Joker,https://www.rottentomatoes.com/m/batman_beyond_return_of_the_joker,"Released Dec 12, 2000",100%,86%
Mercy Streets,https://www.rottentomatoes.com/m/mercy_streets,"Released Oct 31, 2000",13%,55%
Charlie's Angels,https://www.rottentomatoes.com/m/charlies_angels,"Released Nov 3, 2000",68%,45%
The Legend of Bagger Vance,https://www.rottentomatoes.com/m/legend_of_bagger_vance,"Released Nov 3, 2000",43%,65%
Little Nicky,https://www.rottentomatoes.com/m/little_nicky,"Released Nov 10, 2000",22%,55%
Men of Honor,https://www.rottentomatoes.com/m/men_of_honor,"Released Nov 10, 2000",42%,81%
Red Planet,https://www.rottentomatoes.com/m/red_planet,"Released Nov 10, 2000",14%,28%
You Can Count on Me,https://www.rottentomatoes.com/m/you_can_count_on_me,"Released Nov 10, 2000",95%,88%
The 6th Day,https://www.rottentomatoes.com/m/the_6th_day,"Released Nov 17, 2000",40%,33%
Bounce,https://www.rottentomatoes.com/m/bounce,"Released Nov 15, 2000",53%,33%
How the Grinch Stole Christmas,https://www.rottentomatoes.com/m/how_the_grinch_stole_christmas,"Released Nov 17, 2000",49%,58%
For Love or Country: The Arturo Sandoval Story,https://www.rottentomatoes.com/m/for_love_or_country_the_arturo_sandoval_story,2000,,78%
